belief,policy,budget,room_change_cost,day_index,n,task_accuracy,belief_accuracy,senses_per_question,cost_per_question
LastObservation,NeverSense,90,0.5,6,900,0.697778,0.69291,0.0,0.0
LastObservation,NeverSense,90,0.5,7,900,0.551111,0.543933,0.0,0.0
LastObservation,NeverSense,90,0.5,8,900,0.562222,0.553914,0.0,0.0
LastObservation,NeverSense,90,0.5,9,900,0.574444,0.565491,0.0,0.0
LastObservation,NeverSense,90,0.5,10,900,0.565556,0.559114,0.0,0.0
LastObservation,NeverSense,90,0.5,11,900,0.571111,0.554556,0.0,0.0
LastObservation,NeverSense,90,0.5,12,900,0.67,0.662381,0.0,0.0
LastObservation,NeverSense,90,0.5,13,900,0.703333,0.701514,0.0,0.0
LastObservation,NeverSense,90,0.5,14,900,0.546667,0.541513,0.0,0.0
LastObservation,NeverSense,90,0.5,15,900,0.521111,0.531061,0.0,0.0
LastObservation,NeverSense,90,0.5,16,900,0.524444,0.521049,0.0,0.0
LastObservation,NeverSense,90,0.5,17,900,0.546667,0.547911,0.0,0.0
LastObservation,NeverSense,90,0.5,18,900,0.534444,0.526432,0.0,0.0
LastObservation,NeverSense,90,0.5,19,900,0.641111,0.640301,0.0,0.0
LastObservation,NeverSense,90,0.5,20,900,0.71,0.692163,0.0,0.0
LastObservation,NeverSense,90,0.5,21,900,0.556667,0.540394,0.0,0.0
LastObservation,NeverSense,90,0.5,22,900,0.548889,0.540012,0.0,0.0
LastObservation,NeverSense,90,0.5,23,900,0.55,0.544072,0.0,0.0
LastObservation,NeverSense,90,0.5,24,900,0.521111,0.537295,0.0,0.0
LastObservation,NeverSense,90,0.5,25,900,0.512222,0.509894,0.0,0.0
LastObservation,NeverSense,90,0.5,26,900,0.611111,0.626421,0.0,0.0
LastObservation,NeverSense,90,0.5,27,900,0.666667,0.691408,0.0,0.0
LastObservation,NeverSense,90,1,3,900,0.604444,0.601261,0.0,0.0
LastObservation,NeverSense,90,1,4,900,0.547778,0.530503,0.0,0.0
LastObservation,NeverSense,90,1,5,900,0.633333,0.627009,0.0,0.0
LastObservation,NeverSense,90,1,6,900,0.697778,0.69291,0.0,0.0
LastObservation,NeverSense,90,1,7,900,0.551111,0.543933,0.0,0.0
LastObservation,NeverSense,90,1,8,900,0.562222,0.553914,0.0,0.0
LastObservation,NeverSense,90,1,9,900,0.574444,0.565491,0.0,0.0
LastObservation,NeverSense,90,1,10,900,0.565556,0.559114,0.0,0.0
LastObservation,NeverSense,90,1,11,900,0.571111,0.554556,0.0,0.0
LastObservation,NeverSense,90,1,12,900,0.67,0.662381,0.0,0.0
LastObservation,NeverSense,90,1,13,900,0.703333,0.701514,0.0,0.0
