agent,belief,policy,budget_per_day,stratum_type,stratum,n_questions,task_accuracy,belief_accuracy,attention_gap,mean_budget_per_question,mean_budget_per_day
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,10,28,0.7142857142857143,0.7205882352941176,-0.006302521008403339,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,11,28,0.75,0.7457983193277311,0.004201680672268893,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,12,28,0.7142857142857143,0.773109243697479,-0.05882352941176472,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,13,28,0.6785714285714286,0.707983193277311,-0.02941176470588236,0.0,0.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,overall,all,308,0.6883116883116883,0.6680672268907563,0.02024446142093206,0.07142857142857142,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,blanket,13,1.0,1.0,0.0,0.0,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,book,16,0.1875,0.1875,0.0,0.0625,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,bowl,30,0.7333333333333333,0.55,0.18333333333333324,0.1,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,charger,14,1.0,1.0,0.0,0.0,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,headphones,29,0.5517241379310345,0.5517241379310345,0.0,0.034482758620689655,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,jacket,21,0.5714285714285714,0.5714285714285714,0.0,0.047619047619047616,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,keys,16,1.0,1.0,0.0,0.0625,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,medication_bottle,20,1.0,1.0,0.0,0.0,2.0
