belief,policy,budget,room_change_cost,belief_name,policy_name,n_households,n_questions,task_accuracy,belief_accuracy,senses_per_question,senses_per_day,cost_per_question,cost_per_day,same_room_sense_fraction,forced_answer_rate,median_ess
PeriodicPersistence,NeverSense,24,0.5,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,10,22500,0.5924,0.588879,0.0,0.0,0.0,0.0,,0.0,
PeriodicPersistence,NeverSense,24,1,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,10,22500,0.5924,0.588879,0.0,0.0,0.0,0.0,,0.0,
PeriodicPersistence,NeverSense,24,2,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,10,22500,0.5924,0.588879,0.0,0.0,0.0,0.0,,0.0,
PeriodicPersistence,NeverSense,90,0,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,10,22500,0.5924,0.58886,0.0,0.0,0.0,0.0,,0.0,
PeriodicPersistence,NeverSense,90,0.25,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,10,22500,0.5924,0.58886,0.0,0.0,0.0,0.0,,0.0,
PeriodicPersistence,NeverSense,90,0.5,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,10,22500,0.5924,0.58886,0.0,0.0,0.0,0.0,,0.0,
PeriodicPersistence,NeverSense,90,1,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,10,22500,0.5924,0.58886,0.0,0.0,0.0,0.0,,0.0,
PeriodicPersistence,NeverSense,90,2,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,10,22500,0.5924,0.58886,0.0,0.0,0.0,0.0,,0.0,
PeriodicPersistence,ResolvableMassSense_best,24,0,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.690444,0.657208,0.205733,18.516,0.205733,18.516,0.272629,0.0,
PeriodicPersistence,ResolvableMassSense_best,24,0.25,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.682844,0.65129,0.1904,17.136,0.224211,20.179,0.289683,0.019689,
PeriodicPersistence,ResolvableMassSense_best,24,0.5,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.674,0.645795,0.178533,16.068,0.241622,21.746,0.293254,0.025511,
PeriodicPersistence,ResolvableMassSense_best,24,1,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.662667,0.636425,0.15,13.5,0.254844,22.936,0.301037,0.016356,
PeriodicPersistence,ResolvableMassSense_best,24,2,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.645689,0.625587,0.112044,10.084,0.259333,23.34,0.342721,0.042533,
PeriodicPersistence,ResolvableMassSense_best,90,0,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.852933,0.724108,0.962711,86.644,0.962711,86.644,0.270532,0.0,
PeriodicPersistence,ResolvableMassSense_best,90,0.25,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.816044,0.708774,0.828133,74.532,0.977989,88.019,0.276177,0.170178,
PeriodicPersistence,ResolvableMassSense_best,90,0.5,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.79,0.695839,0.731689,65.852,0.991311,89.218,0.290348,0.122711,
PeriodicPersistence,ResolvableMassSense_best,90,1,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.748089,0.677729,0.592178,53.296,0.997822,89.804,0.314995,0.039689,
PeriodicPersistence,ResolvableMassSense_best,90,2,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.705689,0.659715,0.435644,39.208,0.999733,89.976,0.352581,0.076622,
PeriodicPersistence,SequentialSearch,24,0,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,10,22500,0.654178,0.637559,0.266667,24.0,0.266667,24.0,0.350333,0.0,
PeriodicPersistence,SequentialSearch,24,0.25,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,10,22500,0.643733,0.629453,0.226711,20.404,0.263056,23.675,0.358753,0.597822,
PeriodicPersistence,SequentialSearch,24,0.5,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,10,22500,0.638133,0.625547,0.201022,18.092,0.264289,23.786,0.370551,0.412578,
PeriodicPersistence,SequentialSearch,24,1,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,10,22500,0.629067,0.618727,0.165556,14.9,0.266667,24.0,0.389262,0.031778,
PeriodicPersistence,SequentialSearch,24,2,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,10,22500,0.624444,0.613905,0.124089,11.168,0.266667,24.0,0.425501,0.085289,
PeriodicPersistence,SequentialSearch,90,0,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,10,22500,0.719822,0.678604,1.0,90.0,1.0,90.0,0.253867,0.0,
PeriodicPersistence,SequentialSearch,90,0.25,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,10,22500,0.708089,0.671357,0.842667,75.84,0.996667,89.7,0.268987,0.494578,
PeriodicPersistence,SequentialSearch,90,0.5,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,10,22500,0.701644,0.666229,0.735511,66.196,0.998311,89.848,0.285395,0.277289,
PeriodicPersistence,SequentialSearch,90,1,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,10,22500,0.688978,0.659573,0.591822,53.264,1.0,90.0,0.310303,0.043467,
PeriodicPersistence,SequentialSearch,90,2,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,10,22500,0.675244,0.650634,0.436178,39.256,1.0,90.0,0.353678,0.092489,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.1,24,0,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.668267,0.643206,0.262489,23.624,0.262489,23.624,0.363359,0.0,
PeriodicPersistence,VoIBudgetPriceSense_gamma0.1,24,0.25,"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.670222,0.643114,0.203867,18.348,0.226833,20.415,0.549379,0.059689,
