belief,budget,policy,policy_config,cost_aware,room_change_cost,task_accuracy,accuracy_vs_c0,senses_per_question,senses_vs_c0,cost_per_question,same_room_sense_fraction,forced_answer_rate
PeriodicPersistence,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.5,0.663156,-0.005111,0.195911,-0.066578,0.239333,0.556715,0.067556
PeriodicPersistence,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,1,0.646311,-0.021956,0.193689,-0.0688,0.2664,0.624598,0.017378
PeriodicPersistence,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,2,0.642489,-0.025778,0.162444,-0.100045,0.266356,0.680164,0.031867
PeriodicPersistence,90,NeverSense,NeverSense,False,0,0.5924,0.0,0.0,0.0,0.0,,0.0
PeriodicPersistence,90,NeverSense,NeverSense,False,0.25,0.5924,0.0,0.0,0.0,0.0,,0.0
PeriodicPersistence,90,NeverSense,NeverSense,False,0.5,0.5924,0.0,0.0,0.0,0.0,,0.0
PeriodicPersistence,90,NeverSense,NeverSense,False,1,0.5924,0.0,0.0,0.0,0.0,,0.0
PeriodicPersistence,90,NeverSense,NeverSense,False,2,0.5924,0.0,0.0,0.0,0.0,,0.0
PeriodicPersistence,90,SequentialSearch,SequentialSearch,False,0,0.719822,0.0,1.0,0.0,1.0,0.253867,0.0
PeriodicPersistence,90,SequentialSearch,SequentialSearch,False,0.25,0.708089,-0.011733,0.842667,-0.157333,0.996667,0.268987,0.494578
PeriodicPersistence,90,SequentialSearch,SequentialSearch,False,0.5,0.701644,-0.018178,0.735511,-0.264489,0.998311,0.285395,0.277289
PeriodicPersistence,90,SequentialSearch,SequentialSearch,False,1,0.688978,-0.030844,0.591822,-0.408178,1.0,0.310303,0.043467
PeriodicPersistence,90,SequentialSearch,SequentialSearch,False,2,0.675244,-0.044578,0.436178,-0.563822,1.0,0.353678,0.092489
PeriodicPersistence,90,ResolvableMassSense,ResolvableMassSense_best,False,0,0.852933,0.0,0.962711,0.0,0.962711,0.270532,0.0
PeriodicPersistence,90,ResolvableMassSense,ResolvableMassSense_best,False,0.25,0.816044,-0.036889,0.828133,-0.134578,0.977989,0.276177,0.170178
PeriodicPersistence,90,ResolvableMassSense,ResolvableMassSense_best,False,0.5,0.79,-0.062933,0.731689,-0.231022,0.991311,0.290348,0.122711
PeriodicPersistence,90,ResolvableMassSense,ResolvableMassSense_best,False,1,0.748089,-0.104844,0.592178,-0.370533,0.997822,0.314995,0.039689
PeriodicPersistence,90,ResolvableMassSense,ResolvableMassSense_best,False,2,0.705689,-0.147244,0.435644,-0.527067,0.999733,0.352581,0.076622
PeriodicPersistence,90,VoIThresholdSense,VoIThresholdSense_lambda0.02,True,0,0.776933,0.0,0.851244,0.0,0.851244,0.307106,0.0
PeriodicPersistence,90,VoIThresholdSense,VoIThresholdSense_lambda0.02,True,0.25,0.767511,-0.009422,0.743289,-0.107955,0.819244,0.591246,0.066
PeriodicPersistence,90,VoIThresholdSense,VoIThresholdSense_lambda0.02,True,0.5,0.762978,-0.013955,0.677867,-0.173377,0.812933,0.601495,0.036578
PeriodicPersistence,90,VoIThresholdSense,VoIThresholdSense_lambda0.02,True,1,0.756667,-0.020266,0.5804,-0.270844,0.8044,0.614059,0.005244
PeriodicPersistence,90,VoIThresholdSense,VoIThresholdSense_lambda0.02,True,2,0.733956,-0.042977,0.441822,-0.409422,0.765644,0.633538,0.004844
PeriodicPersistence,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0,0.750267,0.0,0.976711,0.0,0.976711,0.270431,0.0
PeriodicPersistence,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.25,0.746667,-0.0036,0.875156,-0.101555,0.957167,0.625159,0.102933
PeriodicPersistence,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.5,0.735644,-0.014623,0.836133,-0.140578,0.987444,0.638069,0.131422
PeriodicPersistence,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,1,0.724178,-0.026089,0.74,-0.236711,0.995422,0.654835,0.016133
PeriodicPersistence,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,2,0.708089,-0.042178,0.602044,-0.374667,0.998667,0.670604,0.037333
PerpetuaStar,24,NeverSense,NeverSense,False,0,0.531778,0.0,0.0,0.0,0.0,,0.0
PerpetuaStar,24,NeverSense,NeverSense,False,0.25,0.531778,0.0,0.0,0.0,0.0,,0.0
PerpetuaStar,24,NeverSense,NeverSense,False,0.5,0.531778,0.0,0.0,0.0,0.0,,0.0
PerpetuaStar,24,NeverSense,NeverSense,False,1,0.531778,0.0,0.0,0.0,0.0,,0.0
PerpetuaStar,24,NeverSense,NeverSense,False,2,0.531778,0.0,0.0,0.0,0.0,,0.0
PerpetuaStar,24,SequentialSearch,SequentialSearch,False,0,0.600711,0.0,0.266667,0.0,0.266667,0.279,0.0
PerpetuaStar,24,SequentialSearch,SequentialSearch,False,0.25,0.595956,-0.004755,0.223644,-0.043023,0.263467,0.287758,0.552533
PerpetuaStar,24,SequentialSearch,SequentialSearch,False,0.5,0.590178,-0.010533,0.196444,-0.070223,0.264444,0.307692,0.386933
