budget,belief,policy,day_index,n_questions,task_accuracy,belief_accuracy
0,most_frequent,sequential_search,11,90,0.1,0.06666666666666667
0,most_frequent,sequential_search,12,90,0.044444444444444446,0.052941176470588235
0,most_frequent,sequential_search,13,90,0.07777777777777778,0.07320261437908497
0,most_frequent,sequential_search,14,90,0.044444444444444446,0.06013071895424837
0,most_frequent,sequential_search,15,90,0.07777777777777778,0.06797385620915032
0,most_frequent,sequential_search,16,90,0.044444444444444446,0.07450980392156863
0,most_frequent,sequential_search,17,90,0.05555555555555555,0.07516339869281045
0,most_frequent,sequential_search,18,90,0.044444444444444446,0.07124183006535947
0,most_frequent,sequential_search,19,90,0.08888888888888889,0.06274509803921569
0,most_frequent,sequential_search,20,90,0.044444444444444446,0.058823529411764705
0,most_frequent,sequential_search,21,90,0.07777777777777778,0.07450980392156863
0,most_frequent,sequential_search,22,90,0.044444444444444446,0.06209150326797386
0,most_frequent,sequential_search,23,90,0.06666666666666667,0.07450980392156863
0,most_frequent,sequential_search,24,90,0.06666666666666667,0.04967320261437908
0,most_frequent,sequential_search,25,90,0.03333333333333333,0.060784313725490195
0,most_frequent,sequential_search,26,90,0.044444444444444446,0.06013071895424837
0,most_frequent,sequential_search,27,90,0.05555555555555555,0.050980392156862744
0,timetable,sequential_search,3,90,0.07777777777777778,0.06143790849673202
0,timetable,sequential_search,4,90,0.05555555555555555,0.06797385620915032
0,timetable,sequential_search,5,90,0.1,0.07647058823529412
0,timetable,sequential_search,6,90,0.1,0.05555555555555555
0,timetable,sequential_search,7,90,0.05555555555555555,0.06928104575163399
0,timetable,sequential_search,8,90,0.044444444444444446,0.06209150326797386
0,timetable,sequential_search,9,90,0.06666666666666667,0.07450980392156863
0,timetable,sequential_search,10,90,0.06666666666666667,0.06013071895424837
0,timetable,sequential_search,11,90,0.06666666666666667,0.06601307189542484
0,timetable,sequential_search,12,90,0.044444444444444446,0.05359477124183006
0,timetable,sequential_search,13,90,0.05555555555555555,0.06928104575163399
0,timetable,sequential_search,14,90,0.022222222222222223,0.054901960784313725
0,timetable,sequential_search,15,90,0.06666666666666667,0.07058823529411765
0,timetable,sequential_search,16,90,0.06666666666666667,0.05620915032679739
0,timetable,sequential_search,17,90,0.044444444444444446,0.05751633986928104
0,timetable,sequential_search,18,90,0.08888888888888889,0.060784313725490195
0,timetable,sequential_search,19,90,0.05555555555555555,0.05947712418300653
0,timetable,sequential_search,20,90,0.05555555555555555,0.06928104575163399
0,timetable,sequential_search,21,90,0.1,0.06470588235294118
0,timetable,sequential_search,22,90,0.06666666666666667,0.06405228758169934
0,timetable,sequential_search,23,90,0.044444444444444446,0.05359477124183006
0,timetable,sequential_search,24,90,0.044444444444444446,0.08104575163398693
0,timetable,sequential_search,25,90,0.03333333333333333,0.05751633986928104
0,timetable,sequential_search,26,90,0.12222222222222222,0.06209150326797386
0,timetable,sequential_search,27,90,0.1,0.06013071895424837
1,last_observation,sequential_search,3,90,0.14444444444444443,0.1522875816993464
1,last_observation,sequential_search,4,90,0.18888888888888888,0.18758169934640523
1,last_observation,sequential_search,5,90,0.13333333333333333,0.1287581699346405
1,last_observation,sequential_search,6,90,0.17777777777777778,0.14183006535947712
1,last_observation,sequential_search,7,90,0.14444444444444443,0.12287581699346405
1,last_observation,sequential_search,8,90,0.15555555555555556,0.17058823529411765
1,last_observation,sequential_search,9,90,0.3111111111111111,0.28169934640522876
1,last_observation,sequential_search,10,90,0.35555555555555557,0.3183006535947712
1,last_observation,sequential_search,11,90,0.28888888888888886,0.2797385620915033
1,last_observation,sequential_search,12,90,0.24444444444444444,0.21176470588235294
1,last_observation,sequential_search,13,90,0.4444444444444444,0.4261437908496732
1,last_observation,sequential_search,14,90,0.34444444444444444,0.34705882352941175
1,last_observation,sequential_search,15,90,0.4,0.39477124183006534
1,last_observation,sequential_search,16,90,0.34444444444444444,0.32745098039215687
1,last_observation,sequential_search,17,90,0.3888888888888889,0.38235294117647056
1,last_observation,sequential_search,18,90,0.3,0.28823529411764703
1,last_observation,sequential_search,19,90,0.34444444444444444,0.3176470588235294
1,last_observation,sequential_search,20,90,0.3,0.30718954248366015
1,last_observation,sequential_search,21,90,0.3333333333333333,0.36405228758169933
1,last_observation,sequential_search,22,90,0.25555555555555554,0.2222222222222222
1,last_observation,sequential_search,23,90,0.2111111111111111,0.17973856209150327
1,last_observation,sequential_search,24,90,0.3,0.31633986928104574
1,last_observation,sequential_search,25,90,0.28888888888888886,0.3183006535947712
1,last_observation,sequential_search,26,90,0.34444444444444444,0.31699346405228757
1,last_observation,sequential_search,27,90,0.3111111111111111,0.3516339869281046
1,most_frequent,sequential_search,3,90,0.08888888888888889,0.11176470588235295
1,most_frequent,sequential_search,4,90,0.08888888888888889,0.08758169934640522
1,most_frequent,sequential_search,5,90,0.12222222222222222,0.11633986928104575
1,most_frequent,sequential_search,6,90,0.1111111111111111,0.08104575163398693
1,most_frequent,sequential_search,7,90,0.05555555555555555,0.06862745098039216
1,most_frequent,sequential_search,8,90,0.16666666666666666,0.23071895424836603
1,most_frequent,sequential_search,9,90,0.2111111111111111,0.24052287581699347
1,most_frequent,sequential_search,10,90,0.18888888888888888,0.19477124183006536
1,most_frequent,sequential_search,11,90,0.25555555555555554,0.24836601307189543
1,most_frequent,sequential_search,12,90,0.15555555555555556,0.17777777777777778
1,most_frequent,sequential_search,13,90,0.26666666666666666,0.2581699346405229
1,most_frequent,sequential_search,14,90,0.34444444444444444,0.3405228758169935
1,most_frequent,sequential_search,15,90,0.3888888888888889,0.3209150326797386
1,most_frequent,sequential_search,16,90,0.32222222222222224,0.32745098039215687
1,most_frequent,sequential_search,17,90,0.4222222222222222,0.42026143790849674
1,most_frequent,sequential_search,18,90,0.4,0.39215686274509803
1,most_frequent,sequential_search,19,90,0.37777777777777777,0.3503267973856209
1,most_frequent,sequential_search,20,90,0.34444444444444444,0.35555555555555557
1,most_frequent,sequential_search,21,90,0.35555555555555557,0.36013071895424836
1,most_frequent,sequential_search,22,90,0.23333333333333334,0.23137254901960785
1,most_frequent,sequential_search,23,90,0.4111111111111111,0.40522875816993464
1,most_frequent,sequential_search,24,90,0.45555555555555555,0.44575163398692813
1,most_frequent,sequential_search,25,90,0.3,0.3137254901960784
1,most_frequent,sequential_search,26,90,0.3888888888888889,0.3843137254901961
