agent,belief,policy,budget_per_day,stratum_type,stratum,n_questions,task_accuracy,belief_accuracy,attention_gap,mean_budget_per_question,mean_budget_per_day
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,wallet,1,1.0,1.0,0.0,0.0,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,water_bottle,2,1.0,1.0,0.0,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,3,4,0.75,0.6911764705882353,0.05882352941176472,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,4,4,0.5,0.5735294117647058,-0.07352941176470584,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,5,4,0.75,0.6323529411764706,0.11764705882352944,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,6,4,0.5,0.75,-0.25,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,7,4,0.75,0.6029411764705882,0.1470588235294118,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,8,4,0.5,0.6470588235294118,-0.1470588235294118,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,9,4,0.75,0.5882352941176471,0.16176470588235292,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,10,4,0.5,0.6911764705882353,-0.19117647058823528,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,11,4,0.25,0.5147058823529411,-0.2647058823529411,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,12,4,0.75,0.4852941176470588,0.2647058823529412,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,13,4,0.5,0.6470588235294118,-0.1470588235294118,0.5,2.0
"TimetableLookup(bin=1h,days=all)+FixedSchedule(k=6.0h,n_rot=4)","TimetableLookup(bin=1h,days=all)","FixedSchedule(k=6.0h,n_rot=4)",2,overall,all,44,0.6363636363636364,0.6564171122994652,-0.020053475935828846,0.45454545454545453,1.8181818181818181
"TimetableLookup(bin=1h,days=all)+FixedSchedule(k=6.0h,n_rot=4)","TimetableLookup(bin=1h,days=all)","FixedSchedule(k=6.0h,n_rot=4)",2,object_class,blanket,2,0.5,0.5,0.0,0.0,1.8181818181818181
"TimetableLookup(bin=1h,days=all)+FixedSchedule(k=6.0h,n_rot=4)","TimetableLookup(bin=1h,days=all)","FixedSchedule(k=6.0h,n_rot=4)",2,object_class,book,3,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.8181818181818181
"TimetableLookup(bin=1h,days=all)+FixedSchedule(k=6.0h,n_rot=4)","TimetableLookup(bin=1h,days=all)","FixedSchedule(k=6.0h,n_rot=4)",2,object_class,bowl,12,0.5833333333333334,0.625,-0.04166666666666663,0.5833333333333334,1.8181818181818181
"TimetableLookup(bin=1h,days=all)+FixedSchedule(k=6.0h,n_rot=4)","TimetableLookup(bin=1h,days=all)","FixedSchedule(k=6.0h,n_rot=4)",2,object_class,charger,1,1.0,1.0,0.0,0.0,1.8181818181818181
