belief,policy,budget,day_index,n,task_accuracy,belief_accuracy,senses_per_question
LastObservation,ResolvableMassSense_best,24,9,900,0.632222,0.604737,0.227778
LastObservation,ResolvableMassSense_best,24,10,900,0.623333,0.594829,0.266667
LastObservation,ResolvableMassSense_best,24,11,900,0.648889,0.602927,0.25
LastObservation,ResolvableMassSense_best,24,12,900,0.742222,0.719812,0.195556
LastObservation,ResolvableMassSense_best,24,13,900,0.751111,0.744367,0.232222
LastObservation,ResolvableMassSense_best,24,14,900,0.632222,0.583868,0.247778
LastObservation,ResolvableMassSense_best,24,15,900,0.596667,0.573759,0.231111
LastObservation,ResolvableMassSense_best,24,16,900,0.614444,0.568221,0.266667
LastObservation,ResolvableMassSense_best,24,17,900,0.616667,0.575688,0.24
LastObservation,ResolvableMassSense_best,24,18,900,0.603333,0.551896,0.241111
LastObservation,ResolvableMassSense_best,24,19,900,0.694444,0.67531,0.223333
LastObservation,ResolvableMassSense_best,24,20,900,0.762222,0.731331,0.186667
LastObservation,ResolvableMassSense_best,24,21,900,0.635556,0.572344,0.266667
LastObservation,ResolvableMassSense_best,24,22,900,0.614444,0.582982,0.23
LastObservation,ResolvableMassSense_best,24,23,900,0.621111,0.572994,0.266667
LastObservation,ResolvableMassSense_best,24,24,900,0.588889,0.573609,0.24
LastObservation,ResolvableMassSense_best,24,25,900,0.611111,0.560216,0.256667
LastObservation,ResolvableMassSense_best,24,26,900,0.665556,0.669545,0.25
LastObservation,ResolvableMassSense_best,24,27,900,0.738889,0.738131,0.198889
LastObservation,ResolvableMassSense_best,90,3,900,0.818889,0.713954,0.936667
LastObservation,ResolvableMassSense_best,90,4,900,0.798889,0.638762,0.855556
LastObservation,ResolvableMassSense_best,90,5,900,0.807778,0.76397,0.653333
LastObservation,ResolvableMassSense_best,90,6,900,0.814444,0.784852,0.536667
LastObservation,ResolvableMassSense_best,90,7,900,0.775556,0.651163,0.843333
LastObservation,ResolvableMassSense_best,90,8,900,0.791111,0.676112,0.898889
LastObservation,ResolvableMassSense_best,90,9,900,0.822222,0.687852,0.814444
LastObservation,ResolvableMassSense_best,90,10,900,0.806667,0.677871,0.804444
LastObservation,ResolvableMassSense_best,90,11,900,0.813333,0.675246,0.916667
LastObservation,ResolvableMassSense_best,90,12,900,0.836667,0.807968,0.556667
LastObservation,ResolvableMassSense_best,90,13,900,0.851111,0.822788,0.552222
LastObservation,ResolvableMassSense_best,90,14,900,0.803333,0.649576,0.818889
LastObservation,ResolvableMassSense_best,90,15,900,0.781111,0.659425,0.923333
LastObservation,ResolvableMassSense_best,90,16,900,0.784444,0.642032,0.903333
LastObservation,ResolvableMassSense_best,90,17,900,0.831111,0.673765,0.904444
LastObservation,ResolvableMassSense_best,90,18,900,0.79,0.640891,0.884444
LastObservation,ResolvableMassSense_best,90,19,900,0.804444,0.753473,0.698889
LastObservation,ResolvableMassSense_best,90,20,900,0.822222,0.78649,0.413333
LastObservation,ResolvableMassSense_best,90,21,900,0.808889,0.638533,0.857778
LastObservation,ResolvableMassSense_best,90,22,900,0.826667,0.678734,0.916667
LastObservation,ResolvableMassSense_best,90,23,900,0.752222,0.643685,0.78
LastObservation,ResolvableMassSense_best,90,24,900,0.785556,0.665391,0.887778
LastObservation,ResolvableMassSense_best,90,25,900,0.793333,0.640918,0.908889
LastObservation,ResolvableMassSense_best,90,26,900,0.812222,0.774894,0.781111
LastObservation,ResolvableMassSense_best,90,27,900,0.815556,0.775531,0.47
LastObservation,SequentialSearch,24,3,900,0.642222,0.640682,0.266667
LastObservation,SequentialSearch,24,4,900,0.613333,0.573606,0.266667
LastObservation,SequentialSearch,24,5,900,0.686667,0.662109,0.266667
LastObservation,SequentialSearch,24,6,900,0.748889,0.737247,0.266667
LastObservation,SequentialSearch,24,7,900,0.594444,0.586433,0.266667
LastObservation,SequentialSearch,24,8,900,0.601111,0.594546,0.266667
LastObservation,SequentialSearch,24,9,900,0.624444,0.605597,0.266667
LastObservation,SequentialSearch,24,10,900,0.627778,0.602444,0.266667
LastObservation,SequentialSearch,24,11,900,0.652222,0.609367,0.266667
LastObservation,SequentialSearch,24,12,900,0.726667,0.726813,0.266667
LastObservation,SequentialSearch,24,13,900,0.754444,0.737056,0.266667
LastObservation,SequentialSearch,24,14,900,0.594444,0.579615,0.266667
LastObservation,SequentialSearch,24,15,900,0.576667,0.569364,0.266667
LastObservation,SequentialSearch,24,16,900,0.59,0.570336,0.266667
LastObservation,SequentialSearch,24,17,900,0.595556,0.575892,0.266667
LastObservation,SequentialSearch,24,18,900,0.592222,0.577096,0.266667
LastObservation,SequentialSearch,24,19,900,0.695556,0.694939,0.266667
LastObservation,SequentialSearch,24,20,900,0.758889,0.731487,0.266667
LastObservation,SequentialSearch,24,21,900,0.582222,0.568634,0.266667
LastObservation,SequentialSearch,24,22,900,0.603333,0.579778,0.266667
LastObservation,SequentialSearch,24,23,900,0.6,0.58485,0.266667
LastObservation,SequentialSearch,24,24,900,0.586667,0.589812,0.266667
LastObservation,SequentialSearch,24,25,900,0.588889,0.578662,0.266667
LastObservation,SequentialSearch,24,26,900,0.676667,0.669172,0.266667
LastObservation,SequentialSearch,24,27,900,0.724444,0.72969,0.266667
LastObservation,SequentialSearch,90,3,900,0.692222,0.670113,1.0
LastObservation,SequentialSearch,90,4,900,0.665556,0.611308,1.0
LastObservation,SequentialSearch,90,5,900,0.776667,0.731486,1.0
LastObservation,SequentialSearch,90,6,900,0.805556,0.780537,1.0
LastObservation,SequentialSearch,90,7,900,0.661111,0.618406,1.0
LastObservation,SequentialSearch,90,8,900,0.672222,0.644673,1.0
LastObservation,SequentialSearch,90,9,900,0.687778,0.656212,1.0
LastObservation,SequentialSearch,90,10,900,0.681111,0.638438,1.0
LastObservation,SequentialSearch,90,11,900,0.707778,0.649118,1.0
LastObservation,SequentialSearch,90,12,900,0.804444,0.779391,1.0
LastObservation,SequentialSearch,90,13,900,0.837778,0.815472,1.0
LastObservation,SequentialSearch,90,14,900,0.654444,0.618892,1.0
LastObservation,SequentialSearch,90,15,900,0.647778,0.618794,1.0
LastObservation,SequentialSearch,90,16,900,0.653333,0.611948,1.0
LastObservation,SequentialSearch,90,17,900,0.655556,0.610878,1.0
LastObservation,SequentialSearch,90,18,900,0.65,0.607436,1.0
LastObservation,SequentialSearch,90,19,900,0.761111,0.732145,1.0
LastObservation,SequentialSearch,90,20,900,0.848889,0.800624,1.0
LastObservation,SequentialSearch,90,21,900,0.636667,0.6003,1.0
