belief,policy,budget,belief_name,policy_name,n_households,n_questions,task_accuracy,belief_accuracy,senses_per_question,senses_per_day,forced_answer_rate,median_ess
PerpetuaStar,ConformalGlobal_best,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ConformalSense(alpha=0.5,global)",10,22500,0.6416,0.613306,0.231156,20.804,0.0,
PerpetuaStar,NeverSense,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,10,22500,0.531778,0.529297,0.0,0.0,0.0,
PerpetuaStar,NeverSense,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,10,22500,0.531778,0.529297,0.0,0.0,0.0,
PerpetuaStar,ResolvableMassSense_best,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",10,22500,0.616978,0.595778,0.266178,23.956,0.0,
PerpetuaStar,ResolvableMassSense_best,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.680578,0.651747,0.990356,89.132,0.0,
PerpetuaStar,SequentialSearch,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,10,22500,0.600711,0.583228,0.266667,24.0,0.0,
PerpetuaStar,SequentialSearch,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,10,22500,0.644133,0.607372,1.0,90.0,0.0,
PerpetuaStar,VoIBudgetPriceSense_gamma0.01,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.01,lambda0=0.05)",10,22500,0.631378,0.602007,0.261467,23.532,0.0,
PerpetuaStar,VoIBudgetPriceSense_gamma0.01,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.01,lambda0=0.05)",10,22500,0.699733,0.653168,0.9876,88.884,0.0,
PerpetuaStar,VoIBudgetPriceSense_gamma0.05,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.05,lambda0=0.05)",10,22500,0.621111,0.594576,0.262978,23.668,0.0,
PerpetuaStar,VoIBudgetPriceSense_gamma0.05,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.05,lambda0=0.05)",10,22500,0.705289,0.657309,0.988,88.92,0.0,
PerpetuaStar,VoIBudgetPriceSense_gamma0.1,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.626356,0.598678,0.263689,23.732,0.0,
PerpetuaStar,VoIBudgetPriceSense_gamma0.1,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)","VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.7056,0.658567,0.988311,88.948,0.0,
