belief,policy,mode,alpha,n_households,n_questions,task_accuracy,belief_accuracy,mean_budget,mean_budget_per_day,forced_answer_rate,budget_per_day,qhat_global
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.4,age_binned)",age_binned,0.4,10,22500,0.776044,0.752247,0.840844,75.676,0.0,90,0.500000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.5,global)",global,0.5,10,22500,0.7236,0.70721,0.485022,43.652,0.0,90,0.094640
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.5,age_binned)",age_binned,0.5,10,22500,0.793867,0.766258,0.909111,81.82,0.0,90,0.094640
"HierarchyBackoff(po=5,pc=5,hl=24h)",NeverSense,NeverSense,,10,22500,0.5568,0.552908,0.0,0.0,0.0,90,
"HierarchyBackoff(po=5,pc=5,hl=24h)",SequentialSearch,SequentialSearch,,10,22500,0.703556,0.670766,1.0,90.0,0.0,90,
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.02,global)",global,0.02,10,22500,0.702356,0.66865,1.0,90.0,0.0,90,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,10,22500,0.703333,0.669679,1.0,90.0,0.0,90,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.05,global)",global,0.05,10,22500,0.703422,0.669658,1.0,90.0,0.0,90,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,10,22500,0.701111,0.667852,1.0,90.0,0.0,90,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.1,global)",global,0.1,10,22500,0.699733,0.668926,1.0,90.0,0.0,90,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,10,22500,0.726622,0.684708,1.0,90.0,0.0,90,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.2,global)",global,0.2,10,22500,0.702089,0.669213,1.0,90.0,0.0,90,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,10,22500,0.740444,0.702583,0.756844,68.116,0.0,90,1.000000
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.3,global)",global,0.3,10,22500,0.799244,0.731562,0.941022,84.692,0.0,90,0.969753
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.3,age_binned)",age_binned,0.3,10,22500,0.753022,0.708507,0.7772,69.948,0.0,90,0.969753
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.4,global)",global,0.4,10,22500,0.67,0.650263,0.403956,36.356,0.0,90,0.512707
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.4,age_binned)",age_binned,0.4,10,22500,0.744489,0.703654,0.834889,75.14,0.0,90,0.512707
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.5,global)",global,0.5,10,22500,0.725867,0.686839,0.601422,54.128,0.0,90,0.441916
"HierarchyBackoff(po=5,pc=5,hl=24h)","ConformalSense(alpha=0.5,age_binned)",age_binned,0.5,10,22500,0.769244,0.717303,0.920311,82.828,0.0,90,0.441916
