household_id,day_index,ess,correct,routine_correct
hh_012,4,1.4684,1,1
hh_012,4,1.4694,1,1
hh_012,4,1.4713,0,0
hh_012,4,1.4881,0,0
hh_012,4,1.4922,0,0
hh_012,4,1.4928,1,1
hh_012,4,1.4938,0,0
hh_012,4,1.4946,1,0
hh_012,4,1.4953,1,1
hh_012,4,1.4994,0,0
hh_012,4,1.5068,0,0
hh_012,4,1.2064,1,0
hh_012,4,1.2104,0,1
hh_012,4,1.2159,1,0
hh_012,4,1.2164,1,0
hh_012,4,1.2247,0,0
hh_012,5,1.2268,0,1
hh_012,5,1.2291,0,0
hh_012,5,1.2295,0,0
hh_012,5,1.2298,1,1
hh_012,5,1.2312,0,0
hh_012,5,1.2342,1,1
hh_012,5,1.3199,1,0
hh_012,5,1.3215,1,1
hh_012,5,1.3216,1,1
hh_012,5,1.33,1,1
hh_012,5,1.3774,0,0
hh_012,5,1.3877,0,0
hh_012,5,1.388,1,0
hh_012,5,1.3882,0,0
hh_012,5,1.3886,0,0
hh_012,5,1.3893,1,1
hh_012,5,1.3894,1,1
hh_012,5,1.3908,0,0
hh_012,5,1.3928,0,0
hh_012,5,1.3948,1,0
hh_012,5,1.3955,1,1
hh_012,5,1.3967,1,1
hh_012,5,1.397,0,1
hh_012,5,1.3982,0,0
hh_012,5,1.4,1,0
hh_012,5,1.407,1,0
hh_012,5,1.4214,1,1
hh_012,5,1.423,1,0
hh_012,5,1.4288,0,1
hh_012,5,1.431,1,1
hh_012,5,1.4336,0,0
hh_012,5,1.4347,0,1
hh_012,5,1.4462,0,0
hh_012,5,2.5614,0,0
hh_012,5,2.5659,1,1
hh_012,5,2.5666,0,0
hh_012,5,2.5674,1,1
hh_012,5,2.5777,1,1
hh_012,5,2.588,1,1
hh_012,5,2.6016,0,0
hh_012,5,2.6076,0,0
hh_012,5,2.6308,0,0
hh_012,5,2.6508,0,1
hh_012,5,2.6565,0,0
hh_012,5,2.6603,1,0
hh_012,5,2.6812,1,1
hh_012,5,2.6906,1,1
hh_012,5,1.6463,1,1
hh_012,5,1.6467,0,0
hh_012,5,1.6524,1,1
hh_012,5,1.6837,1,1
hh_012,5,1.6843,1,1
hh_012,5,1.6885,1,1
hh_012,5,1.689,1,0
hh_012,5,1.7044,1,1
hh_012,5,1.7058,0,1
hh_012,5,2.4781,1,0
hh_012,5,2.4824,0,1
hh_012,5,2.4834,1,1
hh_012,5,2.4949,0,1
hh_012,5,2.5085,1,1
hh_012,5,2.5142,1,1
hh_012,5,2.5303,1,1
hh_012,5,2.5311,1,1
hh_012,5,2.5339,0,1
hh_012,5,2.5399,1,1
hh_012,5,2.5539,1,1
hh_012,5,2.5571,1,1
hh_012,5,2.5598,1,1
hh_012,5,3.6854,1,1
hh_012,5,3.7111,1,1
hh_012,5,3.7138,0,1
hh_012,5,3.7294,1,1
hh_012,5,3.7575,1,1
hh_012,5,3.7725,1,1
hh_012,5,3.7744,1,1
hh_012,5,3.7823,1,1
hh_012,5,3.7863,1,1
hh_012,5,3.8087,1,1
hh_012,5,3.8098,0,1
hh_012,5,3.8139,1,1
hh_012,5,3.8204,0,0
hh_012,5,2.5919,1,1
hh_012,5,2.5934,1,1
hh_012,5,2.5943,1,1
hh_012,5,2.612,1,1
hh_012,5,2.6151,1,1
hh_012,5,2.6166,1,1
hh_012,5,2.6243,1,1
hh_012,5,2.6282,1,1
hh_012,6,2.9185,1,1
hh_012,6,2.9287,0,1
hh_012,6,2.9403,1,1
hh_012,6,2.9408,1,1
hh_012,6,2.943,1,1
hh_012,6,2.9554,0,0
hh_012,6,2.9608,0,1
hh_012,6,2.968,1,1
hh_012,6,2.9687,1,1
hh_012,6,2.9773,1,1
hh_012,6,1.67,1,1
hh_012,6,1.6764,0,1
hh_012,6,1.6898,0,0
hh_012,6,1.6901,0,0
hh_012,6,1.6955,0,0
hh_012,6,1.6992,0,1
hh_012,6,1.7029,0,0
hh_012,6,1.7057,0,1
hh_012,6,1.706,1,1
hh_012,6,1.7073,0,0
hh_012,6,1.7141,1,1
hh_012,6,1.7164,1,1
hh_012,6,1.7198,1,1
hh_012,6,1.721,1,1
hh_012,6,1.7292,1,1
hh_012,6,1.7358,1,1
hh_012,6,2.8896,1,1
hh_012,6,2.9122,1,1
hh_012,6,2.9169,1,1
hh_012,6,2.9303,1,1
hh_012,6,2.9455,1,1
hh_012,6,2.9531,1,1
hh_012,6,2.9671,1,1
hh_012,6,2.9684,1,1
hh_012,6,2.9752,1,1
hh_012,6,3.0297,1,1
hh_012,6,2.4581,1,1
hh_012,6,2.4716,1,0
hh_012,6,2.4759,1,1
hh_012,6,2.4847,1,1
hh_012,6,2.4988,1,1
hh_012,6,2.5049,1,0
hh_012,6,2.5105,1,1
hh_012,6,2.5118,1,1
hh_012,6,2.5176,1,1
hh_012,6,2.5211,0,1
hh_012,6,2.5259,0,1
hh_012,6,2.5352,1,1
hh_012,6,2.545,1,1
hh_012,6,2.5474,1,0
hh_012,6,2.5553,1,0
hh_012,6,2.5562,1,1
hh_012,6,2.5606,0,0
hh_012,6,2.5658,1,1
hh_012,6,2.5697,1,1
hh_012,6,2.5703,1,1
hh_012,6,2.5779,1,1
hh_012,6,2.5848,0,1
hh_012,6,2.5887,1,0
hh_012,6,2.6046,0,0
hh_012,6,3.925,1,0
hh_012,6,3.9356,1,1
hh_012,6,3.9662,0,0
hh_012,6,4.0146,1,0
hh_012,6,4.0152,1,1
hh_012,6,4.0365,1,0
hh_012,6,4.0478,1,1
hh_012,6,4.0556,1,1
hh_012,6,4.0967,1,1
hh_012,6,4.0969,1,1
hh_012,6,4.1276,1,0
hh_012,6,2.8067,0,0
hh_012,6,2.8257,1,1
hh_012,6,2.8492,1,0
hh_012,6,2.8522,1,1
hh_012,6,2.8542,0,0
hh_012,6,2.8708,0,0
hh_012,6,2.8722,1,1
hh_012,6,2.8805,1,1
hh_012,6,2.8904,0,0
hh_012,6,2.8978,1,1
hh_012,6,2.9038,0,0
hh_012,6,2.9063,1,1
hh_012,6,2.7762,0,1
hh_012,6,2.8016,0,0
hh_012,6,2.8063,1,0
hh_012,6,2.817,1,1
hh_012,6,2.8195,0,0
hh_012,6,2.8344,1,1
hh_012,6,2.8427,0,0
hh_012,7,3.1488,1,1
hh_012,7,3.1672,1,1
hh_012,7,3.1756,0,0
hh_012,7,3.1989,1,1
hh_012,7,3.2001,1,1
hh_012,7,3.2163,0,0
hh_012,7,1.1026,1,1
hh_012,7,1.1043,0,0
hh_012,7,1.1064,1,1
hh_012,7,1.1087,1,1
hh_012,7,1.1089,1,0
hh_012,7,1.1095,1,1
hh_012,7,1.1109,1,1
hh_012,7,1.113,1,1
hh_012,7,1.1148,0,1
hh_012,7,1.1149,1,0
hh_012,7,1.1155,0,1
hh_012,7,1.117,1,1
hh_012,7,1.1183,0,0
hh_012,7,1.1186,1,1
hh_012,7,1.1232,1,1
hh_012,7,1.124,1,1
hh_012,7,1.0948,0,0
hh_012,7,1.0954,1,0
hh_012,7,1.0955,1,1
hh_012,7,1.099,1,1
hh_012,7,1.1007,1,1
hh_012,7,1.1008,1,0
hh_012,7,1.1027,0,0
hh_012,7,1.1043,1,1
hh_012,7,1.106,0,1
hh_012,7,1.1075,0,0
hh_012,7,1.1078,0,0
hh_012,7,1.1089,0,1
hh_012,7,1.1093,0,0
hh_012,7,1.1149,1,1
hh_012,7,1.1182,0,0
hh_012,7,1.075,1,1
hh_012,7,1.0771,0,1
hh_012,7,1.0788,0,0
hh_012,7,1.0795,1,1
hh_012,7,1.0799,0,1
hh_012,7,1.081,1,1
hh_012,7,1.0818,1,1
hh_012,7,1.0834,1,1
hh_012,7,1.086,1,1
hh_012,7,1.0877,1,1
hh_012,7,1.0896,1,1
hh_012,7,2.2501,1,1
hh_012,7,2.2558,1,0
hh_012,7,2.259,0,0
hh_012,7,2.267,1,1
hh_012,7,2.2675,1,1
hh_012,7,2.269,0,0
hh_012,7,2.2699,1,1
hh_012,7,2.2744,0,1
hh_012,7,2.2763,1,1
hh_012,7,2.289,1,1
hh_012,7,2.3026,1,1
hh_012,7,2.3159,1,1
hh_012,7,2.3381,1,1
hh_012,7,2.3388,1,1
hh_012,7,2.3498,1,1
hh_012,7,2.3525,1,1
hh_012,7,2.3636,0,1
hh_012,7,1.8299,1,1
hh_012,7,1.8388,1,1
hh_012,7,1.8401,1,1
hh_012,7,1.8405,0,0
hh_012,7,1.8485,1,1
hh_012,7,1.8504,1,1
hh_012,7,1.8531,1,1
hh_012,7,1.8568,1,1
hh_012,7,1.8729,1,1
hh_012,7,1.878,1,1
hh_012,7,1.8832,1,1
hh_012,7,1.8912,1,1
hh_012,7,1.8981,1,1
hh_012,7,1.9025,1,1
hh_012,7,1.9169,1,1
hh_012,7,1.9351,0,0
hh_012,7,1.9497,0,0
hh_012,7,1.9596,0,0
hh_012,7,1.963,0,0
hh_012,7,1.9641,0,0
hh_012,7,2.6259,1,1
hh_012,7,2.6267,0,0
hh_012,7,2.6343,1,1
hh_012,7,2.6519,0,0
hh_012,7,2.6551,0,1
hh_012,8,2.7006,1,1
hh_012,8,2.7107,1,0
hh_012,8,2.7173,1,1
hh_012,8,2.7187,1,1
hh_012,8,2.9751,0,0
hh_012,8,2.9797,1,1
hh_012,8,2.9874,1,1
hh_012,8,2.881,0,0
hh_012,8,2.8815,0,0
hh_012,8,2.8838,0,0
hh_012,8,2.8885,1,1
hh_012,8,2.8888,0,0
hh_012,8,2.89,1,1
hh_012,8,2.8909,0,1
hh_012,8,2.9044,1,1
hh_012,8,2.9122,1,1
hh_012,8,2.9123,1,0
hh_012,8,2.9301,1,1
hh_012,8,2.9378,1,1
hh_012,8,2.9608,0,1
hh_012,8,2.9619,1,1
hh_012,8,3.0306,1,1
hh_012,8,3.0659,1,1
hh_012,8,3.0792,1,1
hh_012,8,3.0883,1,0
hh_012,8,3.0926,1,0
hh_012,8,3.0944,1,0
hh_012,8,3.1081,1,0
hh_012,8,3.1194,1,1
