household,protocol,method,perm,n_days,draw,accuracy,accuracy_moved_only
A,E1,markov,1,32,,0.9390588235294117,
A,E1,pooled,1,32,,0.9594117647058824,
A,E1,fremen,1,32,,0.9570588235294117,
A,E2,fallback,1,32,0,1.0,
A,E2,pooled,1,32,0,1.0,
A,E2,fallback,1,32,1,0.8558823529411764,0.0
A,E2,pooled,1,32,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,1,32,2,0.9941176470588236,0.0
A,E2,pooled,1,32,2,0.9941176470588236,0.0
A,E2,fallback,1,32,3,1.0,
A,E2,pooled,1,32,3,1.0,
A,E2,fallback,1,32,4,0.47058823529411764,0.0
A,E2,pooled,1,32,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,1,48,,0.8612941176470589,
A,E1,modal,1,48,,0.9056470588235294,
A,E1,frequency,1,48,,0.9603529411764706,
A,E1,markov,1,48,,0.9409411764705883,
A,E1,pooled,1,48,,0.9601176470588235,
A,E1,fremen,1,48,,0.9578823529411765,
A,E2,fallback,1,48,0,1.0,
A,E2,pooled,1,48,0,1.0,
A,E2,fallback,1,48,1,0.8558823529411764,0.0
A,E2,pooled,1,48,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,1,48,2,0.9941176470588236,0.0
A,E2,pooled,1,48,2,0.9941176470588236,0.0
A,E2,fallback,1,48,3,1.0,
A,E2,pooled,1,48,3,1.0,
A,E2,fallback,1,48,4,0.47058823529411764,0.0
A,E2,pooled,1,48,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,1,65,,0.8612941176470589,
A,E1,modal,1,65,,0.9056470588235294,
A,E1,frequency,1,65,,0.9603529411764706,
A,E1,markov,1,65,,0.94,
A,E1,pooled,1,65,,0.9594117647058824,
A,E1,fremen,1,65,,0.9565882352941176,
A,E2,fallback,1,65,0,1.0,
A,E2,pooled,1,65,0,1.0,
A,E2,fallback,1,65,1,0.8558823529411764,0.0
A,E2,pooled,1,65,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,1,65,2,0.9941176470588236,0.0
A,E2,pooled,1,65,2,0.9941176470588236,0.0
A,E2,fallback,1,65,3,1.0,
A,E2,pooled,1,65,3,1.0,
A,E2,fallback,1,65,4,0.47058823529411764,0.0
A,E2,pooled,1,65,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,2,1,,0.8874117647058823,
A,E1,modal,2,1,,0.9056470588235294,
A,E1,frequency,2,1,,0.9337647058823529,
A,E1,markov,2,1,,0.928235294117647,
A,E1,pooled,2,1,,0.8342352941176471,
A,E1,fremen,2,1,,0.937764705882353,
A,E2,fallback,2,1,0,1.0,
A,E2,pooled,2,1,0,1.0,
A,E2,fallback,2,1,1,0.8558823529411764,0.0
A,E2,pooled,2,1,1,0.45588235294117646,0.0
A,E2,fallback,2,1,2,0.9941176470588236,0.0
A,E2,pooled,2,1,2,0.9941176470588236,0.0
A,E2,fallback,2,1,3,1.0,
A,E2,pooled,2,1,3,1.0,
A,E2,fallback,2,1,4,0.47058823529411764,0.0
A,E2,pooled,2,1,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,2,2,,0.8874117647058823,
A,E1,modal,2,2,,0.9056470588235294,
A,E1,frequency,2,2,,0.9337647058823529,
A,E1,markov,2,2,,0.9296470588235294,
A,E1,pooled,2,2,,0.9323529411764706,
A,E1,fremen,2,2,,0.9458823529411765,
A,E2,fallback,2,2,0,1.0,
A,E2,pooled,2,2,0,1.0,
A,E2,fallback,2,2,1,0.8558823529411764,0.0
A,E2,pooled,2,2,1,0.5235294117647059,0.02040816326530612
A,E2,fallback,2,2,2,0.9941176470588236,0.0
A,E2,pooled,2,2,2,0.9941176470588236,0.0
A,E2,fallback,2,2,3,1.0,
A,E2,pooled,2,2,3,1.0,
A,E2,fallback,2,2,4,0.47058823529411764,0.0
A,E2,pooled,2,2,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,2,4,,0.8669411764705882,
A,E1,modal,2,4,,0.9056470588235294,
A,E1,frequency,2,4,,0.9431764705882353,
A,E1,markov,2,4,,0.9289411764705883,
A,E1,pooled,2,4,,0.9434117647058824,
A,E1,fremen,2,4,,0.9438823529411765,
A,E2,fallback,2,4,0,1.0,
A,E2,pooled,2,4,0,1.0,
A,E2,fallback,2,4,1,0.8558823529411764,0.0
A,E2,pooled,2,4,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,2,4,2,0.9941176470588236,0.0
A,E2,pooled,2,4,2,0.9941176470588236,0.0
A,E2,fallback,2,4,3,1.0,
A,E2,pooled,2,4,3,1.0,
A,E2,fallback,2,4,4,0.47058823529411764,0.0
A,E2,pooled,2,4,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,2,8,,0.8669411764705882,
A,E1,modal,2,8,,0.9056470588235294,
A,E1,frequency,2,8,,0.9570588235294117,
A,E1,markov,2,8,,0.9298823529411765,
A,E1,pooled,2,8,,0.9424705882352942,
A,E1,fremen,2,8,,0.9558823529411765,
A,E2,fallback,2,8,0,1.0,
A,E2,pooled,2,8,0,1.0,
A,E2,fallback,2,8,1,0.8558823529411764,0.0
A,E2,pooled,2,8,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,2,8,2,0.9941176470588236,0.0
A,E2,pooled,2,8,2,0.9941176470588236,0.0
A,E2,fallback,2,8,3,1.0,
A,E2,pooled,2,8,3,1.0,
A,E2,fallback,2,8,4,0.47058823529411764,0.0
A,E2,pooled,2,8,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,2,16,,0.8669411764705882,
A,E1,modal,2,16,,0.9056470588235294,
A,E1,frequency,2,16,,0.9582352941176471,
A,E1,markov,2,16,,0.9350588235294117,
A,E1,pooled,2,16,,0.9502352941176471,
A,E1,fremen,2,16,,0.9570588235294117,
A,E2,fallback,2,16,0,1.0,
A,E2,pooled,2,16,0,1.0,
A,E2,fallback,2,16,1,0.8558823529411764,0.0
A,E2,pooled,2,16,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,2,16,2,0.9941176470588236,0.0
A,E2,pooled,2,16,2,0.9941176470588236,0.0
A,E2,fallback,2,16,3,1.0,
A,E2,pooled,2,16,3,1.0,
A,E2,fallback,2,16,4,0.47058823529411764,0.0
A,E2,pooled,2,16,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,2,32,,0.8972941176470588,
A,E1,modal,2,32,,0.9056470588235294,
A,E1,frequency,2,32,,0.9603529411764706,
A,E1,markov,2,32,,0.9381176470588235,
A,E1,pooled,2,32,,0.9594117647058824,
A,E1,fremen,2,32,,0.9568235294117647,
A,E2,fallback,2,32,0,1.0,
A,E2,pooled,2,32,0,1.0,
A,E2,fallback,2,32,1,0.8558823529411764,0.0
A,E2,pooled,2,32,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,2,32,2,0.9941176470588236,0.0
A,E2,pooled,2,32,2,0.9941176470588236,0.0
A,E2,fallback,2,32,3,1.0,
A,E2,pooled,2,32,3,1.0,
A,E2,fallback,2,32,4,0.47058823529411764,0.0
A,E2,pooled,2,32,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,2,48,,0.8451764705882353,
A,E1,modal,2,48,,0.9056470588235294,
A,E1,frequency,2,48,,0.9596470588235294,
A,E1,markov,2,48,,0.9390588235294117,
A,E1,pooled,2,48,,0.9594117647058824,
A,E1,fremen,2,48,,0.9556470588235294,
A,E2,fallback,2,48,0,1.0,
A,E2,pooled,2,48,0,1.0,
A,E2,fallback,2,48,1,0.8558823529411764,0.0
A,E2,pooled,2,48,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,2,48,2,0.9941176470588236,0.0
A,E2,pooled,2,48,2,0.9941176470588236,0.0
A,E2,fallback,2,48,3,1.0,
A,E2,pooled,2,48,3,1.0,
A,E2,fallback,2,48,4,0.47058823529411764,0.0
A,E2,pooled,2,48,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,2,65,,0.8612941176470589,
A,E1,modal,2,65,,0.9056470588235294,
A,E1,frequency,2,65,,0.9603529411764706,
A,E1,markov,2,65,,0.94,
A,E1,pooled,2,65,,0.9594117647058824,
A,E1,fremen,2,65,,0.9565882352941176,
A,E2,fallback,2,65,0,1.0,
A,E2,pooled,2,65,0,1.0,
A,E2,fallback,2,65,1,0.8558823529411764,0.0
A,E2,pooled,2,65,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,2,65,2,0.9941176470588236,0.0
A,E2,pooled,2,65,2,0.9941176470588236,0.0
A,E2,fallback,2,65,3,1.0,
A,E2,pooled,2,65,3,1.0,
A,E2,fallback,2,65,4,0.47058823529411764,0.0
A,E2,pooled,2,65,4,0.6735294117647059,0.6611111111111111
B,E1,persistence,0,1,,0.8163265306122449,
B,E1,modal,0,1,,0.924969987995198,
B,E1,frequency,0,1,,0.924969987995198,
B,E1,markov,0,1,,0.9225690276110444,
B,E1,pooled,0,1,,0.8414165666266507,
B,E1,fremen,0,1,,0.9236494597839136,
B,E2,fallback,0,1,0,0.961764705882353,0.0
B,E2,pooled,0,1,0,0.5,0.0
B,E2,fallback,0,1,1,0.9294117647058824,0.0
B,E2,pooled,0,1,1,0.4323529411764706,0.0
B,E2,fallback,0,1,2,0.9323529411764706,0.0
B,E2,pooled,0,1,2,0.9323529411764706,0.0
B,E2,fallback,0,1,3,0.9,0.0
B,E2,pooled,0,1,3,0.9,0.0
B,E2,fallback,0,1,4,0.75,0.0
B,E2,pooled,0,1,4,0.0,0.0
B,E1,persistence,0,2,,0.8381752701080433,
B,E1,modal,0,2,,0.924969987995198,
B,E1,frequency,0,2,,0.9319327731092437,
B,E1,markov,0,2,,0.92953181272509,
B,E1,pooled,0,2,,0.9300120048019208,
B,E1,fremen,0,2,,0.9164465786314526,
B,E2,fallback,0,2,0,0.961764705882353,0.0
B,E2,pooled,0,2,0,0.5,0.0
B,E2,fallback,0,2,1,0.9294117647058824,0.0
B,E2,pooled,0,2,1,0.9294117647058824,0.0
B,E2,fallback,0,2,2,0.9323529411764706,0.0
B,E2,pooled,0,2,2,0.9323529411764706,0.0
B,E2,fallback,0,2,3,0.9,0.0
B,E2,pooled,0,2,3,0.9,0.0
B,E2,fallback,0,2,4,0.75,0.0
B,E2,pooled,0,2,4,0.058823529411764705,0.0
B,E1,persistence,0,4,,0.8381752701080433,
B,E1,modal,0,4,,0.924969987995198,
B,E1,frequency,0,4,,0.9424969987995198,
B,E1,markov,0,4,,0.9326530612244898,
B,E1,pooled,0,4,,0.9309723889555822,
B,E1,fremen,0,4,,0.9388955582232893,
B,E2,fallback,0,4,0,0.961764705882353,0.0
B,E2,pooled,0,4,0,0.5,0.0
B,E2,fallback,0,4,1,0.9294117647058824,0.0
B,E2,pooled,0,4,1,0.9294117647058824,0.0
B,E2,fallback,0,4,2,0.9323529411764706,0.0
B,E2,pooled,0,4,2,0.9323529411764706,0.0
B,E2,fallback,0,4,3,0.9,0.0
B,E2,pooled,0,4,3,0.9,0.0
B,E2,fallback,0,4,4,0.75,0.0
B,E2,pooled,0,4,4,0.5,0.0
B,E1,persistence,0,8,,0.8949579831932774,
B,E1,modal,0,8,,0.924969987995198,
B,E1,frequency,0,8,,0.9424969987995198,
B,E1,markov,0,8,,0.9302521008403362,
B,E1,pooled,0,8,,0.9321728691476591,
B,E1,fremen,0,8,,0.9426170468187275,
B,E2,fallback,0,8,0,0.961764705882353,0.0
B,E2,pooled,0,8,0,0.5,0.0
B,E2,fallback,0,8,1,0.9294117647058824,0.0
B,E2,pooled,0,8,1,0.9294117647058824,0.0
B,E2,fallback,0,8,2,0.9323529411764706,0.0
B,E2,pooled,0,8,2,0.9323529411764706,0.0
B,E2,fallback,0,8,3,0.9,0.0
B,E2,pooled,0,8,3,0.9,0.0
B,E2,fallback,0,8,4,0.75,0.0
B,E2,pooled,0,8,4,0.3235294117647059,0.0
B,E1,persistence,0,16,,0.897719087635054,
B,E1,modal,0,16,,0.924969987995198,
B,E1,frequency,0,16,,0.9441776710684273,
B,E1,markov,0,16,,0.9362545018007203,
B,E1,pooled,0,16,,0.9441776710684273,
B,E1,fremen,0,16,,0.9433373349339735,
B,E2,fallback,0,16,0,0.961764705882353,0.0
B,E2,pooled,0,16,0,0.5,0.0
B,E2,fallback,0,16,1,0.9294117647058824,0.0
B,E2,pooled,0,16,1,0.9294117647058824,0.0
B,E2,fallback,0,16,2,0.9323529411764706,0.0
B,E2,pooled,0,16,2,0.9323529411764706,0.0
B,E2,fallback,0,16,3,0.9,0.0
B,E2,pooled,0,16,3,0.9,0.0
B,E2,fallback,0,16,4,0.75,0.0
B,E2,pooled,0,16,4,0.5,0.0
B,E1,persistence,0,32,,0.897719087635054,
