belief,alpha,mode,age_bin,n,n_covered,coverage,qhat,target,n_calibration,fallback_to_global
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,global,24-72h,4691,1435,0.305905,0.117829,0.6,3750,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,global,72h+,1202,322,0.267887,0.117829,0.6,565,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,age_binned,0-6h,4947,2988,0.604002,0.019416,0.6,6132,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,age_binned,6-24h,11660,6528,0.559863,0.124224,0.6,12053,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,age_binned,24-72h,4691,2712,0.578128,0.990832,0.6,3750,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.4,age_binned,72h+,1202,622,0.517471,0.993671,0.6,565,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,global,0-6h,4947,3697,0.747322,0.037791,0.5,6132,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,global,6-24h,11660,5250,0.450257,0.037791,0.5,12053,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,global,24-72h,4691,1066,0.227244,0.037791,0.5,3750,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,global,72h+,1202,227,0.188852,0.037791,0.5,565,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,age_binned,0-6h,4947,2323,0.469578,0.017614,0.5,6132,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,age_binned,6-24h,11660,5498,0.471527,0.045925,0.5,12053,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,age_binned,24-72h,4691,2260,0.481774,0.934148,0.5,3750,False
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",0.5,age_binned,72h+,1202,527,0.438436,0.96864,0.5,565,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,global,0-6h,4947,4789,0.968061,0.999316,0.98,6132,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,global,6-24h,11660,11194,0.960034,0.999316,0.98,12053,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,global,24-72h,4691,4619,0.984651,0.999316,0.98,3750,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,global,72h+,1202,1197,0.99584,0.999316,0.98,565,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,age_binned,0-6h,4947,4796,0.969476,0.99933,0.98,6132,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,age_binned,6-24h,11660,11216,0.961921,0.999322,0.98,12053,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,age_binned,24-72h,4691,4560,0.972074,0.999149,0.98,3750,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.02,age_binned,72h+,1202,1104,0.918469,0.998641,0.98,565,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,global,0-6h,4947,4667,0.9434,0.999114,0.95,6132,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,global,6-24h,11660,10427,0.894254,0.999114,0.95,12053,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,global,24-72h,4691,4546,0.96909,0.999114,0.95,3750,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,global,72h+,1202,1191,0.990849,0.999114,0.95,565,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,age_binned,0-6h,4947,4616,0.933091,0.999066,0.95,6132,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,age_binned,6-24h,11660,10709,0.918439,0.999202,0.95,12053,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,age_binned,24-72h,4691,4390,0.935835,0.998594,0.95,3750,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.05,age_binned,72h+,1202,1069,0.889351,0.99852,0.95,565,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,global,0-6h,4947,4523,0.914291,0.998497,0.9,6132,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,global,6-24h,11660,9521,0.816552,0.998497,0.9,12053,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,global,24-72h,4691,4357,0.9288,0.998497,0.9,3750,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,global,72h+,1202,1061,0.882696,0.998497,0.9,565,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,age_binned,0-6h,4947,4370,0.883364,0.982966,0.9,6132,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,age_binned,6-24h,11660,9917,0.850515,0.998957,0.9,12053,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,age_binned,24-72h,4691,4168,0.88851,0.998035,0.9,3750,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.1,age_binned,72h+,1202,987,0.821131,0.998188,0.9,565,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.2,global,0-6h,4947,4395,0.888417,0.986579,0.8,6132,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.2,global,6-24h,11660,8721,0.747942,0.986579,0.8,12053,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.2,global,24-72h,4691,2937,0.626093,0.986579,0.8,3750,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.2,global,72h+,1202,624,0.519135,0.986579,0.8,565,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.2,age_binned,0-6h,4947,3954,0.799272,0.529233,0.8,6132,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.2,age_binned,6-24h,11660,8677,0.744168,0.98507,0.8,12053,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.2,age_binned,24-72h,4691,3564,0.759753,0.996413,0.8,3750,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.2,age_binned,72h+,1202,836,0.695507,0.997106,0.8,565,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.3,global,0-6h,4947,4168,0.842531,0.8094,0.7,6132,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.3,global,6-24h,11660,7379,0.632847,0.8094,0.7,12053,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.3,global,24-72h,4691,2175,0.463654,0.8094,0.7,3750,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.3,global,72h+,1202,483,0.40183,0.8094,0.7,565,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.3,age_binned,0-6h,4947,3493,0.706084,0.364435,0.7,6132,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.3,age_binned,6-24h,11660,7435,0.63765,0.826709,0.7,12053,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.3,age_binned,24-72h,4691,3161,0.673844,0.992765,0.7,3750,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.3,age_binned,72h+,1202,749,0.623128,0.995209,0.7,565,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.4,global,0-6h,4947,3683,0.744492,0.429786,0.6,6132,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.4,global,6-24h,11660,6702,0.574786,0.429786,0.6,12053,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.4,global,24-72h,4691,1531,0.32637,0.429786,0.6,3750,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.4,global,72h+,1202,256,0.212978,0.429786,0.6,565,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.4,age_binned,0-6h,4947,2986,0.603598,0.242392,0.6,6132,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.4,age_binned,6-24h,11660,6389,0.547942,0.339342,0.6,12053,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.4,age_binned,24-72h,4691,2724,0.580686,0.971461,0.6,3750,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.4,age_binned,72h+,1202,622,0.517471,0.985853,0.6,565,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.5,global,0-6h,4947,3036,0.613705,0.251725,0.5,6132,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.5,global,6-24h,11660,5691,0.488079,0.251725,0.5,12053,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.5,global,24-72h,4691,1083,0.230868,0.251725,0.5,3750,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.5,global,72h+,1202,114,0.094842,0.251725,0.5,565,
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.5,age_binned,0-6h,4947,2402,0.485547,0.166892,0.5,6132,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.5,age_binned,6-24h,11660,5195,0.44554,0.205917,0.5,12053,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.5,age_binned,24-72h,4691,2222,0.473673,0.833768,0.5,3750,False
"HierarchyBackoff(po=5,pc=5,hl=24h)",0.5,age_binned,72h+,1202,538,0.447587,0.900182,0.5,565,False
